TARGET	PFAM	LOCUS	E-VAL	SCORE	BIAS	DESCRIPTION
DDE_Tnp_1	PF01609.21	SAGEDEP_148835	2.60E-09	27.9	0	Transposase DDE domain
Resolvase	PF00239.21	SAGEDEP_148842	1.80E-08	25.6	0.1	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_148925	1.40E-22	71.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_148994	2.90E-10	31.1	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149027	4.10E-18	56.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149028	2.90E-22	70.2	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_149059	5.60E-16	49.7	0.2	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_149091	1.60E-26	84	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149148	4.20E-16	50.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149194	1.40E-35	113.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149196	6.60E-38	121.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149220	4.90E-28	89	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149221	5.40E-25	79.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149222	6.30E-38	121.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_149224	3.30E-24	76.4	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_149236	1.60E-33	106.8	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_149246	8.60E-09	26.6	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_149417	1.10E-10	32.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149426	3.20E-16	50.5	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149485	4.90E-21	66.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149506	9.10E-22	68.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149594	3.70E-17	53.5	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149665	1.30E-12	38.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149740	7.60E-25	78.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149748	1.10E-33	107.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149749	3.80E-16	50.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149750	1.50E-27	87.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_149939	1.90E-29	93.6	0.6	Phage integrase family
rve	PF00665.26	SAGEDEP_149959	1.60E-15	48.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_149962	1.00E-16	52.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_149969	7.80E-15	46.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_150010	7.40E-26	81.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062201	8.40E-13	39.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062251	1.10E-22	71.5	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_062426	9.40E-15	45.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062432	3.60E-13	40.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062439	3.60E-14	44	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062441	5.00E-14	43.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062454	3.30E-16	50.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062461	1.50E-15	48.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062465	2.20E-13	41.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062474	4.50E-14	43.6	0	Integrase core domain
Recombinase	PF07508.13	SAGEDEP_062502	8.90E-15	46	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_062505	1.80E-23	74.2	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_062505	3.40E-18	57	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_062510	1.40E-28	90.8	0.2	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_062520	1.80E-35	113.2	0.3	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_062520	1.80E-19	61.1	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_062558	6.00E-18	56.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062581	3.60E-22	69.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062595	9.00E-10	29.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062617	2.50E-25	80.2	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062673	1.80E-35	113.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062674	1.60E-28	90.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_062675	4.10E-28	89.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_062677	2.80E-12	37.9	0	Integrase core domain
DDE_Tnp_1_6	PF13751.6	SAGEDEP_062691	4.40E-23	72.8	0.4	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_062691	1.00E-11	35.8	0.6	Transposase DDE domain
DDE_Tnp_1_3	PF13612.6	SAGEDEP_062710	1.80E-09	28.7	0	Transposase DDE domain
DDE_Tnp_1_6	PF13751.6	SAGEDEP_062716	4.60E-12	37.2	1.6	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_062778	1.30E-22	71.3	0	Phage integrase family
rve	PF00665.26	SAGEDEP_062827	1.30E-15	48.6	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_062967	2.80E-14	44.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_062999	6.50E-16	49.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063019	2.60E-12	38	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063041	3.30E-15	47.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063091	2.00E-17	54.5	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_063123	1.40E-19	61.6	2.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_063123	1.00E-15	49	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_063256	3.40E-33	105.8	1.3	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_063262	2.50E-16	50.9	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_063313	9.10E-50	159.5	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_063342	1.90E-33	106.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063343	6.10E-20	62.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063344	1.90E-28	90.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_063346	2.00E-21	67.6	1.5	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_063346	1.60E-17	54.8	0.1	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_063351	3.40E-19	60.2	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_063355	2.30E-29	93.5	0	Transposase DDE domain
DDE_Tnp_IS66	PF03050.14	SAGEDEP_063358	6.70E-42	134.7	0.3	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_063569	8.20E-44	140.3	0	Phage integrase family
rve	PF00665.26	SAGEDEP_063625	2.10E-15	48	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063637	1.40E-16	51.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063647	6.80E-15	46.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063652	3.00E-14	44.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063660	2.10E-15	48	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063664	4.20E-11	34.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063686	7.80E-15	46.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_063692	2.80E-13	41.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_063737	1.80E-18	57.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063738	9.00E-17	52.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063800	2.00E-19	60.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063826	2.40E-32	103	1.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_063836	6.40E-26	82.2	1.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_063886	5.10E-23	72.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063908	5.40E-28	88.8	0.7	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063941	3.60E-11	34.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063970	8.80E-34	107.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_063971	1.10E-24	78.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064014	2.00E-18	57.7	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_064020	3.90E-15	47.2	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_064020	6.00E-11	33.7	0	Recombinase
rve	PF00665.26	SAGEDEP_064085	1.10E-12	39.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064086	9.40E-17	52.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064094	1.20E-14	45.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064097	3.50E-14	44	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064113	3.80E-12	37.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_064168	3.00E-28	89.7	0.8	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_064228	7.60E-19	59.2	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_064228	4.20E-12	37.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_122943	1.20E-13	42.1	0	Phage integrase family
DDE_Tnp_1_6	PF13751.6	SAGEDEP_122955	3.70E-09	27.8	0.3	Transposase DDE domain
rve	PF00665.26	SAGEDEP_123128	7.10E-26	81.7	0.1	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_123232	1.30E-25	81.2	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_123232	3.80E-12	37.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_123275	1.50E-26	84.1	0.2	Phage integrase family
DDE_Tnp_IS1	PF03400.13	SAGEDEP_123288	3.30E-09	28.1	2.4	IS1 transposase
DDE_Tnp_IS240	PF13610.6	SAGEDEP_123288	4.20E-09	27.7	0.4	DDE domain
Phage_integrase	PF00589.22	SAGEDEP_123406	2.20E-31	99.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_123456	7.00E-28	88.5	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_123457	4.70E-34	108.5	4.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_123457	4.80E-23	72.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_123460	8.80E-20	62.1	0	Phage integrase family
Y1_Tnp	PF01797.16	SAGEDEP_123468	5.30E-09	27.2	0	Transposase IS200 like
Phage_integrase	PF00589.22	SAGEDEP_123505	1.40E-11	35.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_123522	1.20E-09	29.4	0.1	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_123562	4.80E-34	108.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_123563	6.90E-30	95	0	Phage integrase family
rve	PF00665.26	SAGEDEP_123572	3.70E-20	63.3	0.1	Integrase core domain
DDE_3	PF13358.6	SAGEDEP_123577	2.60E-20	63.6	0	DDE superfamily endonuclease
Resolvase	PF00239.21	SAGEDEP_123714	3.20E-35	112.3	0.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_123714	6.10E-10	30.5	0	Recombinase
rve	PF00665.26	SAGEDEP_123734	1.30E-18	58.3	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_123803	6.70E-27	85.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_123855	7.60E-27	85.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124010	1.40E-13	41.9	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124037	6.20E-36	114.7	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_124155	7.00E-39	124.2	1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_124155	8.40E-25	78.2	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_124187	2.50E-29	93.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124188	3.30E-27	86.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124189	9.80E-23	71.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124190	4.00E-34	108.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124191	4.20E-22	69.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124192	1.50E-22	71.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124264	2.50E-15	47.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124295	2.30E-12	38	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124360	5.90E-27	85.5	0	Phage integrase family
rve	PF00665.26	SAGEDEP_124413	3.40E-22	69.8	0.1	Integrase core domain
Y1_Tnp	PF01797.16	SAGEDEP_124416	1.90E-08	25.4	0.1	Transposase IS200 like
Phage_integrase	PF00589.22	SAGEDEP_124434	1.10E-33	107.4	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_124440	7.00E-35	111.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_124442	2.10E-17	54.5	1.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_124442	3.40E-10	31.3	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_124580	1.90E-45	145.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125085	2.00E-14	44.7	0.2	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_125112	3.80E-17	53.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_125114	3.90E-25	79.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125127	3.90E-26	82.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125128	1.10E-18	58.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125129	7.90E-35	111.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125172	1.50E-27	87.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125173	1.50E-16	51.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125174	4.90E-33	105.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125188	8.20E-16	49.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125189	7.70E-28	88.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125190	3.60E-20	63.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125191	5.30E-33	105.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125221	2.50E-19	60.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125256	3.50E-10	30.9	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125279	6.70E-28	88.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125280	6.80E-22	69	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125281	2.40E-21	67.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125282	9.50E-34	107.6	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125283	6.60E-23	72.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125284	2.20E-29	93.4	0	Phage integrase family
rve	PF00665.26	SAGEDEP_027252	8.40E-11	33.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027275	4.00E-14	43.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027284	1.60E-15	48.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027306	6.50E-17	52.8	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_027332	5.30E-12	37	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027343	2.70E-16	50.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027365	1.30E-13	42.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_027376	9.80E-16	49	0	Integrase core domain
DDE_Tnp_4	PF13359.6	SAGEDEP_027382	5.00E-09	26.9	0	DDE superfamily endonuclease
DDE_Tnp_IS66	PF03050.14	SAGEDEP_027428	1.10E-39	127.5	0.8	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_027539	1.30E-25	81.1	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027571	1.20E-18	58.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027573	2.70E-25	80	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027581	1.10E-19	61.8	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_027591	7.40E-20	62.5	0.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_027591	5.10E-09	27.5	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_027632	3.60E-19	60.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027645	5.40E-13	40	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_027651	3.70E-43	138.1	0.4	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_027651	5.70E-16	49.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_027667	6.50E-33	104.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027668	3.70E-24	76.4	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027669	5.50E-29	92.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_027691	1.90E-21	67.5	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_027834	1.50E-19	61.5	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_027834	2.50E-19	60.6	0	Recombinase
DDE_Tnp_1_assoc	PF13808.6	SAGEDEP_028277	2.40E-22	69.8	0	DDE_Tnp_1-associated
DDE_Tnp_1	PF01609.21	SAGEDEP_028277	4.60E-13	40.2	0.1	Transposase DDE domain
rve	PF00665.26	SAGEDEP_028299	2.00E-11	35.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028314	3.50E-18	56.9	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_028329	1.30E-14	45.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028342	1.10E-12	39.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028386	5.50E-17	53	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028393	3.20E-15	47.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028402	1.90E-12	38.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028416	3.30E-12	37.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028437	2.40E-16	51	0	Integrase core domain
rve	PF00665.26	SAGEDEP_028454	1.00E-17	55.4	0.1	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_028567	3.40E-14	43.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_028586	9.60E-37	117.3	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_028623	2.90E-21	66.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_028647	5.50E-29	92.1	0.1	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_028704	1.50E-26	83.8	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_028704	6.70E-12	36.7	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_028719	3.30E-30	96	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_028745	2.30E-25	80.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_028750	1.10E-30	97.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029279	6.40E-26	82.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_029295	9.10E-14	42.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_029303	5.80E-12	36.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_029319	3.10E-17	53.9	0.3	Integrase core domain
rve	PF00665.26	SAGEDEP_029340	4.50E-15	46.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_029354	1.00E-14	45.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_029415	7.50E-14	42.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_029439	7.70E-13	39.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029554	5.30E-14	43.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029573	1.20E-32	104	0	Phage integrase family
DDE_Tnp_4	PF13359.6	SAGEDEP_029578	1.30E-42	136.1	0	DDE superfamily endonuclease
DDE_Tnp_1	PF01609.21	SAGEDEP_029578	3.20E-09	27.6	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_029584	9.00E-29	91.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029609	5.50E-10	30.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029610	1.20E-09	29.1	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_029631	9.80E-18	55.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_029660	3.90E-40	128.3	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029778	4.40E-10	30.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029780	2.50E-30	96.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029781	4.30E-24	76.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_029782	1.50E-37	120	0	Phage integrase family
DDE_Tnp_IS66	PF03050.14	SAGEDEP_029783	5.20E-39	125.2	0.1	Transposase IS66 family
rve	PF00665.26	SAGEDEP_029867	4.60E-17	53.3	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_029876	4.50E-15	46.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_030008	9.60E-21	65.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_030283	8.10E-16	49.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030293	2.60E-20	63.8	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_030304	6.10E-16	49.6	0	Phage integrase family
rve	PF00665.26	SAGEDEP_030307	3.10E-24	76.4	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_030323	3.40E-13	40.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030354	1.60E-14	45.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030379	1.30E-16	51.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030391	4.20E-12	37.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030401	5.40E-14	43.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030407	3.60E-15	47.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_030413	4.20E-14	43.7	0	Integrase core domain
Recombinase	PF07508.13	SAGEDEP_030465	4.00E-09	27.8	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_030465	7.60E-09	26.8	0.1	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_030566	1.10E-15	48.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_030571	8.10E-28	88.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_030572	1.00E-24	78.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_030573	1.70E-31	100.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_030671	3.20E-16	50.5	0	Phage integrase family
DDE_Tnp_IS1	PF03400.13	SAGEDEP_092685	8.50E-09	26.8	0.1	IS1 transposase
rve	PF00665.26	SAGEDEP_092692	9.00E-14	42.7	0	Integrase core domain
DDE_Tnp_1	PF01609.21	SAGEDEP_092702	9.20E-09	26.1	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_092910	8.20E-27	85	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_093356	1.10E-09	29.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_093556	1.70E-39	126.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_093585	4.70E-24	76.1	1.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_093585	9.60E-11	33	0	Recombinase
rve	PF00665.26	SAGEDEP_093590	1.50E-15	48.4	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_093625	3.90E-22	69.8	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_093632	4.60E-33	105.3	0.4	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_093632	8.60E-22	68.5	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_093653	8.70E-20	62.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_093675	6.10E-22	69.1	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_093773	2.90E-19	60.5	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_093809	3.40E-18	56.9	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_093832	1.10E-22	71.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094268	1.70E-26	84	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094293	3.60E-09	27.6	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094294	6.80E-14	42.9	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094300	1.10E-15	48.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094301	1.20E-27	87.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094302	3.50E-13	40.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094303	3.10E-25	79.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094450	9.00E-16	49.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_094553	9.70E-19	58.9	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_094553	2.60E-14	44.5	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_094588	3.20E-25	79.9	0.4	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_094588	3.40E-14	44.1	0	Recombinase
rve	PF00665.26	SAGEDEP_094618	4.50E-12	37.2	0.1	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_094619	6.60E-23	72.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094620	2.40E-20	64	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_094621	4.10E-31	99	0	Phage integrase family
